# FIXTURE DATA - synthetic, fictional brands, not real market information. Generated by scripts/build_fixtures.py
brand,region,month,units
Novaphone,North,2026-03,44200
Novaphone,North,2026-04,44982
Novaphone,North,2026-05,46061
Novaphone,North,2026-06,47024
Novaphone,North,2026-07,48037
Novaphone,North,2026-08,50343
Novaphone,South,2026-03,49400
Novaphone,South,2026-04,50262
Novaphone,South,2026-05,51434
Novaphone,South,2026-06,52617
Novaphone,South,2026-07,53637
Novaphone,South,2026-08,56192
Novaphone,East,2026-03,54600
Novaphone,East,2026-04,55737
Novaphone,East,2026-05,56631
Novaphone,East,2026-06,57860
Novaphone,East,2026-07,58852
Novaphone,East,2026-08,61788
Novaphone,West,2026-03,59800
Novaphone,West,2026-04,61079
Novaphone,West,2026-05,62521
Novaphone,West,2026-06,63909
Novaphone,West,2026-07,65068
Novaphone,West,2026-08,68160
Pixelo,North,2026-03,26350
Pixelo,North,2026-04,27211
Pixelo,North,2026-05,27922
Pixelo,North,2026-06,28737
Pixelo,North,2026-07,29568
Pixelo,North,2026-08,33895
Pixelo,South,2026-03,29450
Pixelo,South,2026-04,30422
Pixelo,South,2026-05,31443
Pixelo,South,2026-06,32500
Pixelo,South,2026-07,33463
Pixelo,South,2026-08,38516
Pixelo,East,2026-03,32550
Pixelo,East,2026-04,33594
Pixelo,East,2026-05,34729
Pixelo,East,2026-06,35872
Pixelo,East,2026-07,36829
Pixelo,East,2026-08,42282
Pixelo,West,2026-03,35650
Pixelo,West,2026-04,36611
Pixelo,West,2026-05,37725
Pixelo,West,2026-06,38745
Pixelo,West,2026-07,39825
Pixelo,West,2026-08,45946
Kairo,North,2026-03,22100
Kairo,North,2026-04,22284
Kairo,North,2026-05,22495
Kairo,North,2026-06,22672
Kairo,North,2026-07,22839
Kairo,North,2026-08,23356
Kairo,South,2026-03,24700
Kairo,South,2026-04,24889
Kairo,South,2026-05,25110
Kairo,South,2026-06,25447
Kairo,South,2026-07,25721
Kairo,South,2026-08,26141
Kairo,East,2026-03,27300
Kairo,East,2026-04,27635
Kairo,East,2026-05,27812
Kairo,East,2026-06,27999
Kairo,East,2026-07,28283
Kairo,East,2026-08,28743
Kairo,West,2026-03,29900
Kairo,West,2026-04,30150
Kairo,West,2026-05,30434
Kairo,West,2026-06,30657
Kairo,West,2026-07,30954
Kairo,West,2026-08,31585
Zenix,North,2026-03,18700
Zenix,North,2026-04,18775
Zenix,North,2026-05,18790
Zenix,North,2026-06,18785
Zenix,North,2026-07,18846
Zenix,North,2026-08,19438
Zenix,South,2026-03,20900
Zenix,South,2026-04,20930
Zenix,South,2026-05,20885
Zenix,South,2026-06,20851
Zenix,South,2026-07,20855
Zenix,South,2026-08,21435
Zenix,East,2026-03,23100
Zenix,East,2026-04,23034
Zenix,East,2026-05,22961
Zenix,East,2026-06,23038
Zenix,East,2026-07,22972
Zenix,East,2026-08,23664
Zenix,West,2026-03,25300
Zenix,West,2026-04,25352
Zenix,West,2026-05,25446
Zenix,West,2026-06,25528
Zenix,West,2026-07,25515
Zenix,West,2026-08,26199
Lumo,North,2026-03,12750
Lumo,North,2026-04,12921
Lumo,North,2026-05,13038
Lumo,North,2026-06,13173
Lumo,North,2026-07,13274
Lumo,North,2026-08,11658
Lumo,South,2026-03,14250
Lumo,South,2026-04,14359
Lumo,South,2026-05,14468
Lumo,South,2026-06,14629
Lumo,South,2026-07,14737
Lumo,South,2026-08,12976
Lumo,East,2026-03,15750
Lumo,East,2026-04,15912
Lumo,East,2026-05,16012
Lumo,East,2026-06,16167
Lumo,East,2026-07,16365
Lumo,East,2026-08,14438
Lumo,West,2026-03,17250
Lumo,West,2026-04,17456
Lumo,West,2026-05,17599
Lumo,West,2026-06,17712
Lumo,West,2026-07,17822
Lumo,West,2026-08,15658
Axon Mobile,North,2026-03,7650
Axon Mobile,North,2026-04,7784
Axon Mobile,North,2026-05,7943
Axon Mobile,North,2026-06,8090
Axon Mobile,North,2026-07,8220
Axon Mobile,North,2026-08,8546
Axon Mobile,South,2026-03,8550
Axon Mobile,South,2026-04,8736
Axon Mobile,South,2026-05,8894
Axon Mobile,South,2026-06,9052
Axon Mobile,South,2026-07,9244
Axon Mobile,South,2026-08,9604
Axon Mobile,East,2026-03,9450
Axon Mobile,East,2026-04,9635
Axon Mobile,East,2026-05,9824
Axon Mobile,East,2026-06,10059
Axon Mobile,East,2026-07,10242
Axon Mobile,East,2026-08,10653
Axon Mobile,West,2026-03,10350
Axon Mobile,West,2026-04,10557
Axon Mobile,West,2026-05,10750
Axon Mobile,West,2026-06,10968
Axon Mobile,West,2026-07,11204
Axon Mobile,West,2026-08,11625
