# FIXTURE DATA - synthetic, fictional brands, not real market information. Generated by scripts/build_fixtures.py
brand,region,month,units
Voltra,North zone,2026-03,2592
Voltra,North zone,2026-04,2650
Voltra,North zone,2026-05,2700
Voltra,North zone,2026-06,2750
Voltra,North zone,2026-07,2811
Voltra,North zone,2026-08,2891
Voltra,South zone,2026-03,2898
Voltra,South zone,2026-04,2949
Voltra,South zone,2026-05,2996
Voltra,South zone,2026-06,3068
Voltra,South zone,2026-07,3118
Voltra,South zone,2026-08,3221
Voltra,West zone,2026-03,3202
Voltra,West zone,2026-04,3272
Voltra,West zone,2026-05,3331
Voltra,West zone,2026-06,3387
Voltra,West zone,2026-07,3445
Voltra,West zone,2026-08,3559
Voltra,East zone,2026-03,3507
Voltra,East zone,2026-04,3566
Voltra,East zone,2026-05,3630
Voltra,East zone,2026-06,3688
Voltra,East zone,2026-07,3749
Voltra,East zone,2026-08,3864
Zipp,North zone,2026-03,1615
Zipp,North zone,2026-04,1674
Zipp,North zone,2026-05,1735
Zipp,North zone,2026-06,1801
Zipp,North zone,2026-07,1879
Zipp,North zone,2026-08,2217
Zipp,South zone,2026-03,1805
Zipp,South zone,2026-04,1873
Zipp,South zone,2026-05,1951
Zipp,South zone,2026-06,2023
Zipp,South zone,2026-07,2098
Zipp,South zone,2026-08,2481
Zipp,West zone,2026-03,1995
Zipp,West zone,2026-04,2081
Zipp,West zone,2026-05,2157
Zipp,West zone,2026-06,2239
Zipp,West zone,2026-07,2335
Zipp,West zone,2026-08,2755
Zipp,East zone,2026-03,2185
Zipp,East zone,2026-04,2280
Zipp,East zone,2026-05,2373
Zipp,East zone,2026-06,2459
Zipp,East zone,2026-07,2562
Zipp,East zone,2026-08,3019
Kestrel,North zone,2026-03,1275
Kestrel,North zone,2026-04,1278
Kestrel,North zone,2026-05,1278
Kestrel,North zone,2026-06,1274
Kestrel,North zone,2026-07,1270
Kestrel,North zone,2026-08,1152
Kestrel,South zone,2026-03,1425
Kestrel,South zone,2026-04,1423
Kestrel,South zone,2026-05,1418
Kestrel,South zone,2026-06,1423
Kestrel,South zone,2026-07,1424
Kestrel,South zone,2026-08,1295
Kestrel,West zone,2026-03,1575
Kestrel,West zone,2026-04,1578
Kestrel,West zone,2026-05,1579
Kestrel,West zone,2026-06,1581
Kestrel,West zone,2026-07,1580
Kestrel,West zone,2026-08,1440
Kestrel,East zone,2026-03,1725
Kestrel,East zone,2026-04,1729
Kestrel,East zone,2026-05,1727
Kestrel,East zone,2026-06,1731
Kestrel,East zone,2026-07,1727
Kestrel,East zone,2026-08,1570
Nimbus,North zone,2026-03,935
Nimbus,North zone,2026-04,950
Nimbus,North zone,2026-05,971
Nimbus,North zone,2026-06,989
Nimbus,North zone,2026-07,1012
Nimbus,North zone,2026-08,1048
Nimbus,South zone,2026-03,1045
Nimbus,South zone,2026-04,1064
Nimbus,South zone,2026-05,1085
Nimbus,South zone,2026-06,1104
Nimbus,South zone,2026-07,1122
Nimbus,South zone,2026-08,1168
Nimbus,West zone,2026-03,1155
Nimbus,West zone,2026-04,1175
Nimbus,West zone,2026-05,1202
Nimbus,West zone,2026-06,1222
Nimbus,West zone,2026-07,1248
Nimbus,West zone,2026-08,1301
Nimbus,East zone,2026-03,1265
Nimbus,East zone,2026-04,1291
Nimbus,East zone,2026-05,1314
Nimbus,East zone,2026-06,1340
Nimbus,East zone,2026-07,1367
Nimbus,East zone,2026-08,1419
Orbit,North zone,2026-03,510
Orbit,North zone,2026-04,515
Orbit,North zone,2026-05,518
Orbit,North zone,2026-06,522
Orbit,North zone,2026-07,527
Orbit,North zone,2026-08,539
Orbit,South zone,2026-03,570
Orbit,South zone,2026-04,575
Orbit,South zone,2026-05,583
Orbit,South zone,2026-06,590
Orbit,South zone,2026-07,597
Orbit,South zone,2026-08,610
Orbit,West zone,2026-03,630
Orbit,West zone,2026-04,637
Orbit,West zone,2026-05,645
Orbit,West zone,2026-06,650
Orbit,West zone,2026-07,655
Orbit,West zone,2026-08,666
Orbit,East zone,2026-03,690
Orbit,East zone,2026-04,697
Orbit,East zone,2026-05,703
Orbit,East zone,2026-06,711
Orbit,East zone,2026-07,718
Orbit,East zone,2026-08,731
Tarang,North zone,2026-03,442
Tarang,North zone,2026-04,443
Tarang,North zone,2026-05,443
Tarang,North zone,2026-06,444
Tarang,North zone,2026-07,445
Tarang,North zone,2026-08,440
Tarang,South zone,2026-03,494
Tarang,South zone,2026-04,494
Tarang,South zone,2026-05,495
Tarang,South zone,2026-06,496
Tarang,South zone,2026-07,495
Tarang,South zone,2026-08,490
Tarang,West zone,2026-03,546
Tarang,West zone,2026-04,548
Tarang,West zone,2026-05,546
Tarang,West zone,2026-06,544
Tarang,West zone,2026-07,544
Tarang,West zone,2026-08,539
Tarang,East zone,2026-03,598
Tarang,East zone,2026-04,600
Tarang,East zone,2026-05,598
Tarang,East zone,2026-06,597
Tarang,East zone,2026-07,598
Tarang,East zone,2026-08,593
